review,sentiment
"Fantastic purchase, will buy again 1",positive
Completely dissatisfied with the product,negative
"Really good product, exceeded expectations",positive
"Not as described, very bad",negative
"Superb experience, very satisfied 3",positive
Stopped working after a few days,negative
"Excellent quality, highly recommended",positive
"Not as described, very bad",negative
"Excellent quality, highly recommended",positive
"Terrible experience, do not buy",negative
Very useful and well made,positive
"Poor quality, broke quickly",negative
"Fantastic purchase, will buy again",positive
Completely dissatisfied with the product,negative
"Fantastic purchase, will buy again",positive
Regret buying this product,negative
"Really good product, exceeded expectations",positive
Completely dissatisfied with the product,negative
Very useful and well made,positive
"Not worth it, very disappointing",negative
Very useful and well made 3,positive
"Poor quality, broke quickly 1",negative
"Works as expected, very happy 4",positive
"Poor quality, broke quickly",negative
The product is amazing and very useful,positive
"Terrible experience, do not buy 5",negative
Great value for money,positive
"Poor quality, broke quickly",negative
"Fantastic purchase, will buy again",positive
"Not worth it, very disappointing",negative
Great value for money,positive
"Not as described, very bad 4",negative
"Fantastic purchase, will buy again",positive
"Not as described, very bad",negative
"Works as expected, very happy",positive
"Not as described, very bad",negative
"Fantastic purchase, will buy again",positive
Stopped working after a few days 3,negative
"I love it, works perfectly",positive
Regret buying this product,negative
Great value for money 2,positive
Cheap material and poor design 1,negative
Very useful and well made,positive
"Terrible experience, do not buy",negative
The product is amazing and very useful,positive
Cheap material and poor design,negative
"Works as expected, very happy",positive
Completely dissatisfied with the product,negative
The product is amazing and very useful,positive
"Not as described, very bad",negative
"Really good product, exceeded expectations",positive
"Poor quality, broke quickly",negative
High quality and fast delivery,positive
Stopped working after a few days,negative
Very useful and well made,positive
Stopped working after a few days,negative
The product is amazing and very useful,positive
"Poor quality, broke quickly",negative
"Excellent quality, highly recommended",positive
"Not as described, very bad",negative
Great value for money,positive
Very bad quality and waste of money,negative
"Superb experience, very satisfied",positive
"Not worth it, very disappointing",negative
Very useful and well made 5,positive
"Poor quality, broke quickly",negative
"I love it, works perfectly",positive
Very bad quality and waste of money,negative
"Superb experience, very satisfied 1",positive
"Not as described, very bad",negative
"Fantastic purchase, will buy again 3",positive
Very low quality and useless,negative
"Superb experience, very satisfied",positive
Cheap material and poor design,negative
"Fantastic purchase, will buy again",positive
Stopped working after a few days,negative
The product is amazing and very useful,positive
Very low quality and useless,negative
"Really good product, exceeded expectations",positive
Regret buying this product,negative
"I love it, works perfectly",positive
Regret buying this product,negative
"I love it, works perfectly",positive
"Not as described, very bad",negative
"Excellent quality, highly recommended",positive
Regret buying this product,negative
Very useful and well made,positive
Very bad quality and waste of money,negative
"Fantastic purchase, will buy again",positive
"Not worth it, very disappointing",negative
Very useful and well made,positive
Very low quality and useless 4,negative
High quality and fast delivery,positive
Stopped working after a few days,negative
Great value for money,positive
"Not worth it, very disappointing",negative
The product is amazing and very useful,positive
"Poor quality, broke quickly 5",negative
High quality and fast delivery,positive
Cheap material and poor design 2,negative
"Excellent quality, highly recommended 3",positive
Regret buying this product 1,negative
Very useful and well made,positive
Completely dissatisfied with the product 2,negative
"Excellent quality, highly recommended",positive
"Not worth it, very disappointing",negative
The product is amazing and very useful,positive
"Not as described, very bad 5",negative
"Superb experience, very satisfied 3",positive
Regret buying this product,negative
Very useful and well made,positive
Cheap material and poor design,negative
High quality and fast delivery,positive
"Terrible experience, do not buy 5",negative
High quality and fast delivery,positive
"Not as described, very bad",negative
Great value for money,positive
"Not worth it, very disappointing 2",negative
"Fantastic purchase, will buy again",positive
Cheap material and poor design,negative
